"CodeC","NoImmat","DateDebLoc","DateFinLoc","KmDeb","KmFin"
1016,"IMM0021","2024-12-17","2024-12-20",27804,28010
4021,"IMM0021","2024-12-26","2024-12-29",28010,28755
2918,"IMM0022","2023-02-20","2023-02-21",2532,2890
751,"IMM0022","2023-02-25","2023-02-26",2890,3454
3420,"IMM0022","2023-02-27","2023-02-28",3454,3804
1646,"IMM0022","2023-03-06","2023-03-08",3804,4339
728,"IMM0022","2023-04-16","2023-04-22",4339,4726
3863,"IMM0022","2023-04-26","2023-05-05",4726,5104
1300,"IMM0022","2023-05-06","2023-05-08",5104,5794
3743,"IMM0022","2023-07-11","2023-07-21",5794,6081
1828,"IMM0022","2023-07-22","2023-07-29",6081,6700
3144,"IMM0022","2023-07-26","2023-07-27",6700,7380
1988,"IMM0022","2023-07-28","2023-07-30",7380,8114
3443,"IMM0022","2023-08-08","2023-08-09",8114,8700
4241,"IMM0022","2023-09-04","2023-09-13",8700,9309
2870,"IMM0022","2023-10-10","2023-10-11",9309,9449
274,"IMM0022","2023-10-17","2023-10-23",9449,9879
1614,"IMM0022","2023-10-17","2023-10-27",9879,10009
761,"IMM0022","2023-10-24","2023-10-26",10009,10437
1677,"IMM0022","2023-12-11","2023-12-14",10437,10531
1326,"IMM0022","2023-12-11","2023-12-18",10531,10872
398,"IMM0022","2023-12-14","2023-12-15",10872,11547
1556,"IMM0022","2023-12-28","2024-01-01",11547,12321
1779,"IMM0022","2023-12-31","2024-01-10",12321,12814
1991,"IMM0022","2024-01-05","2024-01-13",12814,13465
349,"IMM0022","2024-01-08","2024-01-11",13465,13517
1935,"IMM0022","2024-01-09","2024-01-18",13517,14140
3667,"IMM0022","2024-01-12","2024-01-21",14140,14363
515,"IMM0022","2024-01-17","2024-01-26",14363,14958
1731,"IMM0022","2024-02-11","2024-02-20",14958,15312
2322,"IMM0022","2024-02-29","2024-03-08",15312,15894
814,"IMM0022","2024-02-29","2024-03-07",15894,16407
3542,"IMM0022","2024-03-10","2024-03-17",16407,16711
2237,"IMM0022","2024-03-21","2024-03-24",16711,16769
4454,"IMM0022","2024-05-09","2024-05-13",16769,17125
4199,"IMM0022","2024-05-10","2024-05-12",17125,17365
2409,"IMM0022","2024-05-23","2024-05-26",17365,17829
3564,"IMM0022","2024-06-05","2024-06-10",17829,18371
2279,"IMM0022","2024-07-23","2024-07-26",18371,19166
3384,"IMM0022","2024-07-25","2024-07-30",19166,19497
246,"IMM0022","2024-07-27","2024-08-01",19497,20021
1591,"IMM0022","2024-09-29","2024-10-02",20021,20577
3557,"IMM0022","2024-10-04","2024-10-11",20577,20872
3624,"IMM0022","2024-10-14","2024-10-24",20872,21588
2681,"IMM0022","2024-11-04","2024-11-13",21588,21733
3887,"IMM0022","2024-11-10","2024-11-18",21733,22092
2234,"IMM0022","2024-12-11","2024-12-21",22092,22722
1383,"IMM0022","2024-12-17","2024-12-22",22722,23169
3073,"IMM0023","2023-01-11","2023-01-16",2174,2827
3184,"IMM0023","2023-01-12","2023-01-19",2827,3305
4255,"IMM0023","2023-04-01","2023-04-03",3305,3479
4406,"IMM0023","2023-04-05","2023-04-08",3479,3671
1196,"IMM0023","2023-05-28","2023-06-01",3671,4401
1118,"IMM0023","2023-06-06","2023-06-11",4401,4843
4020,"IMM0023","2023-07-20","2023-07-23",4843,5083
430,"IMM0023","2023-08-11","2023-08-15",5083,5611
1703,"IMM0023","2023-09-13","2023-09-17",5611,6158
2211,"IMM0023","2023-09-21","2023-09-22",6158,6604
527,"IMM0023","2023-10-13","2023-10-17",6604,7181
3389,"IMM0023","2023-11-10","2023-11-18",7181,7539
4267,"IMM0023","2023-11-15","2023-11-21",7539,8096
4108,"IMM0023","2023-12-01","2023-12-05",8096,8198
2175,"IMM0023","2023-12-05","2023-12-11",8198,8583
3155,"IMM0023","2023-12-09","2023-12-15",8583,9324
3682,"IMM0023","2024-01-23","2024-01-30",9324,10041
3047,"IMM0023","2024-01-29","2024-02-06",10041,10605
3157,"IMM0023","2024-02-18","2024-02-27",10605,11348
18,"IMM0023","2024-03-23","2024-03-24",11348,11759
2764,"IMM0023","2024-04-01","2024-04-03",11759,11943
3241,"IMM0023","2024-06-23","2024-07-01",11943,12660
3477,"IMM0023","2024-07-22","2024-07-27",12660,13364
2093,"IMM0023","2024-08-01","2024-08-11",13364,13684
1760,"IMM0023","2024-08-05","2024-08-12",13684,13963
1357,"IMM0023","2024-08-20","2024-08-28",13963,14050
3012,"IMM0023","2024-09-16","2024-09-23",14050,14209
2092,"IMM0023","2024-09-21","2024-09-28",14209,14622
1581,"IMM0023","2024-09-23","2024-09-28",14622,14931
1455,"IMM0023","2024-10-03","2024-10-04",14931,15043
2391,"IMM0023","2024-10-31","2024-11-03",15043,15182
4179,"IMM0023","2024-11-10","2024-11-17",15182,15685
2049,"IMM0023","2024-12-21","2024-12-29",15685,16467
718,"IMM0024","2023-01-23","2023-01-28",2952,3194
1521,"IMM0024","2023-02-20","2023-02-23",3194,3970
4102,"IMM0024","2023-02-21","2023-03-01",3970,4453
3365,"IMM0024","2023-03-26","2023-03-30",4453,4693
4014,"IMM0024","2023-04-05","2023-04-15",4693,5451
391,"IMM0024","2023-04-13","2023-04-18",5451,5632
1698,"IMM0024","2023-04-14","2023-04-18",5632,6243
785,"IMM0024","2023-05-21","2023-05-22",6243,6704
333,"IMM0024","2023-08-18","2023-08-27",6704,7384
635,"IMM0024","2023-08-30","2023-09-07",7384,7478
313,"IMM0024","2023-09-13","2023-09-19",7478,7682
1040,"IMM0024","2023-11-21","2023-12-01",7682,7815
4332,"IMM0024","2023-11-24","2023-11-29",7815,8222
3762,"IMM0024","2023-11-30","2023-12-05",8222,8866
3330,"IMM0024","2023-12-15","2023-12-21",8866,9548
172,"IMM0024","2023-12-22","2023-12-28",9548,9733
3876,"IMM0024","2024-01-13","2024-01-14",9733,10503
1477,"IMM0024","2024-01-19","2024-01-25",10503,11184
3517,"IMM0024","2024-02-23","2024-02-25",11184,11349
2376,"IMM0024","2024-06-24","2024-06-28",11349,11723
4128,"IMM0024","2024-07-10","2024-07-14",11723,11818
2557,"IMM0024","2024-07-14","2024-07-15",11818,12510
3965,"IMM0024","2024-08-08","2024-08-16",12510,13309
3001,"IMM0024","2024-08-11","2024-08-13",13309,13585
329,"IMM0024","2024-10-04","2024-10-11",13585,13713
89,"IMM0024","2024-10-08","2024-10-18",13713,13919
1147,"IMM0024","2024-11-04","2024-11-06",13919,14380
3734,"IMM0024","2024-11-17","2024-11-22",14380,14777
3449,"IMM0025","2023-01-23","2023-01-31",4617,4809
444,"IMM0025","2023-02-14","2023-02-18",4809,5273
3876,"IMM0025","2023-02-14","2023-02-15",5273,5470
3725,"IMM0025","2023-03-26","2023-04-01",5470,5635
64,"IMM0025","2023-03-30","2023-03-31",5635,6049
3577,"IMM0025","2023-03-31","2023-04-09",6049,6598
342,"IMM0025","2023-04-23","2023-04-30",6598,7240
23,"IMM0025","2023-05-10","2023-05-16",7240,7763
623,"IMM0025","2023-05-30","2023-06-01",7763,7995
682,"IMM0025","2023-06-03","2023-06-12",7995,8138
3139,"IMM0025","2023-06-08","2023-06-16",8138,8892
1660,"IMM0025","2023-06-29","2023-07-02",8892,9188
2990,"IMM0025","2023-07-03","2023-07-07",9188,9826
1882,"IMM0025","2023-07-25","2023-07-29",9826,9893
3036,"IMM0025","2023-07-26","2023-07-31",9893,10485
2310,"IMM0025","2023-08-15","2023-08-25",10485,11252
2619,"IMM0025","2023-09-02","2023-09-04",11252,11730
2711,"IMM0025","2023-09-09","2023-09-17",11730,11837
3624,"IMM0025","2023-09-12","2023-09-22",11837,12190
1543,"IMM0025","2023-09-14","2023-09-17",12190,12350
4326,"IMM0025","2023-10-16","2023-10-20",12350,12432
1212,"IMM0025","2023-10-17","2023-10-22",12432,12662
3244,"IMM0025","2023-10-18","2023-10-23",12662,13134
4329,"IMM0025","2023-11-30","2023-12-06",13134,13827
2711,"IMM0025","2023-12-06","2023-12-08",13827,14464
202,"IMM0025","2023-12-13","2023-12-16",14464,15252
283,"IMM0025","2023-12-14","2023-12-19",15252,15372
531,"IMM0025","2023-12-26","2024-01-01",15372,16149
2497,"IMM0025","2023-12-31","2024-01-09",16149,16715
269,"IMM0025","2024-02-12","2024-02-18",16715,16865
409,"IMM0025","2024-02-16","2024-02-26",16865,17141
1560,"IMM0025","2024-02-26","2024-03-02",17141,17591
2991,"IMM0025","2024-02-28","2024-03-03",17591,17870
3414,"IMM0025","2024-02-28","2024-03-03",17870,18163
54,"IMM0025","2024-03-04","2024-03-10",18163,18706
3018,"IMM0025","2024-03-11","2024-03-16",18706,18954
3814,"IMM0025","2024-03-30","2024-03-31",18954,19006
4426,"IMM0025","2024-04-02","2024-04-07",19006,19178
3323,"IMM0025","2024-04-09","2024-04-14",19178,19466
3694,"IMM0025","2024-04-15","2024-04-23",19466,19549
1202,"IMM0025","2024-06-06","2024-06-08",19549,20072
88,"IMM0025","2024-09-16","2024-09-21",20072,20573
604,"IMM0026","2023-02-01","2023-02-09",2245,2897
1736,"IMM0026","2023-02-07","2023-02-14",2897,3241
4093,"IMM0026","2023-02-28","2023-03-01",3241,3822
2112,"IMM0026","2023-03-04","2023-03-09",3822,3916
3160,"IMM0026","2023-03-12","2023-03-18",3916,4687
2425,"IMM0026","2023-03-27","2023-04-02",4687,4889
2737,"IMM0026","2023-04-05","2023-04-15",4889,5146
3020,"IMM0026","2023-04-07","2023-04-15",5146,5217
4076,"IMM0026","2023-04-22","2023-04-29",5217,5644
55,"IMM0026","2023-04-24","2023-05-04",5644,5961
3211,"IMM0026","2023-06-23","2023-06-26",5961,6023
3842,"IMM0026","2023-07-08","2023-07-17",6023,6736
2625,"IMM0026","2023-07-13","2023-07-20",6736,6936
1494,"IMM0026","2023-08-06","2023-08-14",6936,7099
1312,"IMM0026","2023-08-18","2023-08-25",7099,7175
1055,"IMM0026","2023-08-31","2023-09-07",7175,7291
994,"IMM0026","2023-09-02","2023-09-11",7291,7787
4199,"IMM0026","2023-09-11","2023-09-12",7787,7957
217,"IMM0026","2023-12-16","2023-12-26",7957,8232
3572,"IMM0026","2023-12-22","2023-12-23",8232,8883
558,"IMM0026","2023-12-30","2024-01-09",8883,9218
29,"IMM0026","2024-01-07","2024-01-16",9218,9336
3829,"IMM0026","2024-01-19","2024-01-20",9336,9436
1609,"IMM0026","2024-01-19","2024-01-22",9436,9997
3328,"IMM0026","2024-01-23","2024-01-26",9997,10587
198,"IMM0026","2024-01-23","2024-01-29",10587,11321
4292,"IMM0026","2024-01-25","2024-02-02",11321,11847
4022,"IMM0026","2024-03-31","2024-04-08",11847,11947
694,"IMM0026","2024-04-04","2024-04-09",11947,12684
3803,"IMM0026","2024-04-09","2024-04-12",12684,13448
3160,"IMM0026","2024-04-26","2024-05-05",13448,13630
824,"IMM0026","2024-05-20","2024-05-22",13630,14256
2752,"IMM0026","2024-06-25","2024-07-02",14256,14969
3287,"IMM0026","2024-07-06","2024-07-11",14969,15463
231,"IMM0026","2024-07-15","2024-07-23",15463,15973
1658,"IMM0026","2024-07-19","2024-07-25",15973,16631
2966,"IMM0026","2024-07-30","2024-08-06",16631,17393
919,"IMM0026","2024-08-01","2024-08-11",17393,17614
1224,"IMM0026","2024-08-26","2024-08-27",17614,18026
985,"IMM0026","2024-09-10","2024-09-14",18026,18453
3288,"IMM0026","2024-09-11","2024-09-15",18453,19249
3765,"IMM0026","2024-09-13","2024-09-18",19249,20047
4348,"IMM0026","2024-09-29","2024-10-09",20047,20275
2882,"IMM0026","2024-10-04","2024-10-05",20275,20374
4064,"IMM0026","2024-10-19","2024-10-25",20374,20532
3477,"IMM0026","2024-11-27","2024-12-05",20532,20854
4301,"IMM0026","2024-12-03","2024-12-10",20854,21558
3874,"IMM0026","2024-12-06","2024-12-10",21558,21979
4435,"IMM0026","2024-12-17","2024-12-19",21979,22593
1071,"IMM0026","2024-12-19","2024-12-21",22593,23144
4069,"IMM0026","2024-12-21","2024-12-26",23144,23715
1219,"IMM0027","2023-02-06","2023-02-13",3851,4403
917,"IMM0027","2023-03-05","2023-03-15",4403,4544
3443,"IMM0027","2023-03-24","2023-04-03",4544,5183
1550,"IMM0027","2023-05-07","2023-05-11",5183,5611
1958,"IMM0027","2023-05-08","2023-05-09",5611,5878
626,"IMM0027","2023-05-29","2023-06-02",5878,6496
3919,"IMM0027","2023-07-01","2023-07-10",6496,6767
325,"IMM0027","2023-07-24","2023-07-30",6767,7473
3223,"IMM0027","2023-08-10","2023-08-19",7473,7658
4224,"IMM0027","2023-08-29","2023-09-06",7658,8090
1902,"IMM0027","2023-09-02","2023-09-06",8090,8477
2716,"IMM0027","2023-09-18","2023-09-21",8477,8960
1407,"IMM0027","2023-10-16","2023-10-17",8960,9149
2268,"IMM0027","2023-11-11","2023-11-20",9149,9701
2078,"IMM0027","2023-12-08","2023-12-16",9701,10267
1015,"IMM0027","2023-12-26","2023-12-28",10267,10507
1292,"IMM0027","2024-01-17","2024-01-24",10507,11162
1614,"IMM0027","2024-01-18","2024-01-23",11162,11589
1002,"IMM0027","2024-01-25","2024-02-02",11589,11875
1354,"IMM0027","2024-01-31","2024-02-03",11875,12065
1811,"IMM0027","2024-03-12","2024-03-14",12065,12566
3770,"IMM0027","2024-04-05","2024-04-14",12566,13057
2750,"IMM0027","2024-04-06","2024-04-07",13057,13357
2269,"IMM0027","2024-04-25","2024-05-03",13357,13789
455,"IMM0027","2024-05-26","2024-06-01",13789,14172
3952,"IMM0027","2024-07-03","2024-07-11",14172,14964
3953,"IMM0027","2024-07-17","2024-07-27",14964,15094
3758,"IMM0027","2024-08-14","2024-08-19",15094,15352
608,"IMM0027","2024-08-15","2024-08-18",15352,16087
2468,"IMM0027","2024-08-27","2024-08-31",16087,16446
2616,"IMM0027","2024-09-10","2024-09-14",16446,16854
2029,"IMM0027","2024-09-13","2024-09-22",16854,17616
627,"IMM0027","2024-09-18","2024-09-20",17616,18372
2707,"IMM0027","2024-09-20","2024-09-28",18372,18782
260,"IMM0027","2024-09-29","2024-10-09",18782,18976
3764,"IMM0027","2024-10-17","2024-10-20",18976,19077
2226,"IMM0027","2024-11-01","2024-11-10",19077,19162
1541,"IMM0027","2024-11-13","2024-11-20",19162,19817
3057,"IMM0027","2024-11-25","2024-12-03",19817,20526
2887,"IMM0027","2024-12-14","2024-12-21",20526,20766
2858,"IMM0028","2023-01-05","2023-01-10",3208,3856
1231,"IMM0028","2023-01-17","2023-01-19",3856,3907
875,"IMM0028","2023-01-17","2023-01-26",3907,4029
4137,"IMM0028","2023-03-03","2023-03-12",4029,4734
3406,"IMM0028","2023-03-11","2023-03-21",4734,5421
931,"IMM0028","2023-04-13","2023-04-17",5421,5630
2011,"IMM0028","2023-04-19","2023-04-25",5630,6139
2630,"IMM0028","2023-05-30","2023-06-03",6139,6730
2513,"IMM0028","2023-07-17","2023-07-26",6730,7429
636,"IMM0028","2023-07-21","2023-07-23",7429,7570
2662,"IMM0028","2023-07-24","2023-08-01",7570,7658
1546,"IMM0028","2023-08-22","2023-08-27",7658,8177
3027,"IMM0028","2023-09-20","2023-09-27",8177,8281
758,"IMM0028","2023-09-24","2023-10-01",8281,8624
1322,"IMM0028","2023-09-30","2023-10-07",8624,8865
2474,"IMM0028","2023-10-06","2023-10-12",8865,9246
2326,"IMM0028","2023-10-07","2023-10-14",9246,9462
27,"IMM0028","2023-11-04","2023-11-07",9462,9638
1889,"IMM0028","2023-11-19","2023-11-25",9638,10414
2054,"IMM0028","2023-11-29","2023-12-06",10414,11101
1390,"IMM0028","2024-01-22","2024-01-25",11101,11830
2048,"IMM0028","2024-02-14","2024-02-24",11830,12171
33,"IMM0028","2024-02-21","2024-02-29",12171,12306
3644,"IMM0028","2024-04-16","2024-04-20",12306,13038
2418,"IMM0028","2024-04-30","2024-05-04",13038,13370
3154,"IMM0028","2024-05-13","2024-05-20",13370,13483
2790,"IMM0028","2024-06-17","2024-06-22",13483,14016
407,"IMM0028","2024-07-02","2024-07-03",14016,14493
416,"IMM0028","2024-07-03","2024-07-07",14493,15127
4305,"IMM0028","2024-08-09","2024-08-11",15127,15229
3617,"IMM0028","2024-08-13","2024-08-23",15229,15645
888,"IMM0028","2024-08-16","2024-08-23",15645,15889
2764,"IMM0028","2024-08-30","2024-09-02",15889,16015
2128,"IMM0028","2024-09-18","2024-09-20",16015,16246
4,"IMM0028","2024-09-29","2024-10-02",16246,16465
2385,"IMM0028","2024-10-20","2024-10-22",16465,17014
1461,"IMM0029","2023-01-13","2023-01-16",910,1047
952,"IMM0029","2023-02-12","2023-02-14",1047,1763
2320,"IMM0029","2023-03-02","2023-03-05",1763,2397
2215,"IMM0029","2023-03-10","2023-03-19",2397,2562
2378,"IMM0029","2023-03-10","2023-03-12",2562,2903
57,"IMM0029","2023-03-29","2023-03-31",2903,3174
4205,"IMM0029","2023-04-12","2023-04-18",3174,3934
3251,"IMM0029","2023-04-30","2023-05-10",3934,4579
1553,"IMM0029","2023-05-05","2023-05-15",4579,4752
2331,"IMM0029","2023-05-24","2023-05-27",4752,5224
2634,"IMM0029","2023-06-24","2023-06-27",5224,5279
989,"IMM0029","2023-07-01","2023-07-04",5279,6056
251,"IMM0029","2023-07-16","2023-07-18",6056,6567
2474,"IMM0029","2023-07-21","2023-07-22",6567,6772
424,"IMM0029","2023-08-12","2023-08-22",6772,7340
2480,"IMM0029","2023-09-17","2023-09-22",7340,7836
4123,"IMM0029","2023-10-04","2023-10-13",7836,8419
3204,"IMM0029","2023-11-08","2023-11-15",8419,8841
2436,"IMM0029","2023-11-24","2023-12-03",8841,8966
4444,"IMM0029","2023-12-03","2023-12-06",8966,9490
1529,"IMM0029","2023-12-04","2023-12-14",9490,9667
2026,"IMM0029","2023-12-10","2023-12-17",9667,10185
2679,"IMM0029","2023-12-12","2023-12-22",10185,10339
3411,"IMM0029","2023-12-13","2023-12-18",10339,10668
1014,"IMM0029","2023-12-15","2023-12-21",10668,10913
1225,"IMM0029","2024-01-04","2024-01-06",10913,11536
209,"IMM0029","2024-01-18","2024-01-20",11536,11686
1563,"IMM0029","2024-01-28","2024-01-29",11686,12265
2578,"IMM0029","2024-02-06","2024-02-09",12265,12537
839,"IMM0029","2024-02-13","2024-02-19",12537,12999
4372,"IMM0029","2024-03-17","2024-03-20",12999,13290
2375,"IMM0029","2024-03-21","2024-03-24",13290,13896
2054,"IMM0029","2024-03-22","2024-03-23",13896,14690
1028,"IMM0029","2024-03-25","2024-03-28",14690,15483
2063,"IMM0029","2024-04-29","2024-05-06",15483,15711
3220,"IMM0029","2024-06-10","2024-06-18",15711,15844
1989,"IMM0029","2024-06-14","2024-06-17",15844,15904
1143,"IMM0029","2024-06-25","2024-07-01",15904,16206
2074,"IMM0029","2024-07-15","2024-07-18",16206,16503
4399,"IMM0029","2024-07-19","2024-07-26",16503,17004
323,"IMM0029","2024-08-02","2024-08-10",17004,17539
3153,"IMM0029","2024-08-29","2024-08-30",17539,17907
1103,"IMM0029","2024-09-03","2024-09-13",17907,18706
1622,"IMM0029","2024-09-13","2024-09-23",18706,19304
4043,"IMM0029","2024-09-19","2024-09-26",19304,20079
3237,"IMM0029","2024-10-24","2024-11-01",20079,20438
425,"IMM0029","2024-11-11","2024-11-20",20438,21205
4090,"IMM0029","2024-11-13","2024-11-21",21205,21392
615,"IMM0029","2024-11-21","2024-11-22",21392,21901
2770,"IMM0029","2024-12-14","2024-12-17",21901,22250
425,"IMM0029","2024-12-21","2024-12-22",22250,22546
1571,"IMM0030","2023-01-20","2023-01-23",1311,1831
4500,"IMM0030","2023-02-06","2023-02-13",1831,2409
175,"IMM0030","2023-03-08","2023-03-16",2409,2499
2247,"IMM0030","2023-03-16","2023-03-19",2499,3215
1903,"IMM0030","2023-04-16","2023-04-22",3215,3732
1893,"IMM0030","2023-05-21","2023-05-23",3732,4315
3009,"IMM0030","2023-05-29","2023-06-08",4315,4605
580,"IMM0030","2023-06-23","2023-06-25",4605,5397
3493,"IMM0030","2023-07-02","2023-07-12",5397,6054
1533,"IMM0030","2023-07-07","2023-07-09",6054,6770
1567,"IMM0030","2023-07-09","2023-07-15",6770,7075
2560,"IMM0030","2023-07-15","2023-07-23",7075,7862
468,"IMM0030","2023-08-01","2023-08-07",7862,7919
3845,"IMM0030","2023-08-12","2023-08-13",7919,8476
3928,"IMM0030","2023-08-13","2023-08-19",8476,8532
2438,"IMM0030","2023-08-28","2023-09-07",8532,8871
3273,"IMM0030","2023-10-11","2023-10-15",8871,9275
3737,"IMM0030","2023-10-18","2023-10-25",9275,9841
3410,"IMM0030","2023-10-24","2023-10-31",9841,10019
580,"IMM0030","2023-11-23","2023-11-27",10019,10628
95,"IMM0030","2023-12-19","2023-12-25",10628,11270
2937,"IMM0030","2023-12-21","2023-12-23",11270,11945
2108,"IMM0030","2024-01-15","2024-01-24",11945,12281
2941,"IMM0030","2024-01-26","2024-01-31",12281,12506
1335,"IMM0030","2024-03-18","2024-03-24",12506,13152
2727,"IMM0030","2024-03-20","2024-03-26",13152,13305
1607,"IMM0030","2024-03-23","2024-03-27",13305,14079
284,"IMM0030","2024-04-18","2024-04-24",14079,14756
552,"IMM0030","2024-05-12","2024-05-18",14756,15107
789,"IMM0030","2024-05-19","2024-05-29",15107,15580
1706,"IMM0030","2024-06-07","2024-06-13",15580,15742
816,"IMM0030","2024-06-28","2024-06-29",15742,16402
3365,"IMM0030","2024-07-18","2024-07-26",16402,16768
2807,"IMM0030","2024-07-18","2024-07-20",16768,17506
1888,"IMM0030","2024-07-22","2024-07-29",17506,17790
3293,"IMM0030","2024-08-13","2024-08-19",17790,18459
81,"IMM0030","2024-08-17","2024-08-23",18459,18540
2063,"IMM0030","2024-08-29","2024-08-31",18540,19093
1945,"IMM0030","2024-08-30","2024-09-07",19093,19288
1153,"IMM0030","2024-09-04","2024-09-08",19288,19605
1101,"IMM0030","2024-11-04","2024-11-11",19605,20373
3989,"IMM0030","2024-11-13","2024-11-22",20373,20900
324,"IMM0030","2024-11-18","2024-11-22",20900,21644
1414,"IMM0030","2024-11-20","2024-11-24",21644,22342
4465,"IMM0030","2024-12-05","2024-12-07",22342,22535
4227,"IMM0030","2024-12-16","2024-12-18",22535,23036
518,"IMM0030","2024-12-17","2024-12-26",23036,23723
1885,"IMM0030","2024-12-27","2024-12-31",23723,24087
365,"IMM0031","2023-01-17","2023-01-20",882,1001
4103,"IMM0031","2023-01-20","2023-01-23",1001,1362
621,"IMM0031","2023-01-27","2023-02-01",1362,1436
4457,"IMM0031","2023-01-28","2023-01-30",1436,1944
374,"IMM0031","2023-02-08","2023-02-11",1944,2524
2145,"IMM0031","2023-02-25","2023-03-04",2524,2638
3479,"IMM0031","2023-03-14","2023-03-23",2638,3169
4366,"IMM0031","2023-03-14","2023-03-22",3169,3875
1570,"IMM0031","2023-03-31","2023-04-03",3875,3990
2307,"IMM0031","2023-04-05","2023-04-15",3990,4661
3918,"IMM0031","2023-04-08","2023-04-09",4661,4925
1052,"IMM0031","2023-04-18","2023-04-19",4925,5261
1538,"IMM0031","2023-05-03","2023-05-08",5261,5991
4060,"IMM0031","2023-05-23","2023-05-28",5991,6259
1679,"IMM0031","2023-06-15","2023-06-20",6259,6621
1063,"IMM0031","2023-06-15","2023-06-17",6621,6715
3370,"IMM0031","2023-07-30","2023-08-05",6715,6832
369,"IMM0031","2023-08-11","2023-08-12",6832,7183
3237,"IMM0031","2023-08-29","2023-08-30",7183,7300
99,"IMM0031","2023-09-02","2023-09-07",7300,7463
1633,"IMM0031","2023-09-04","2023-09-06",7463,7753
2755,"IMM0031","2023-09-07","2023-09-13",7753,8144
3730,"IMM0031","2023-09-08","2023-09-18",8144,8504
1091,"IMM0031","2023-09-23","2023-09-24",8504,9292
3870,"IMM0031","2023-11-01","2023-11-04",9292,10043
1048,"IMM0031","2023-11-10","2023-11-14",10043,10704
2928,"IMM0031","2023-11-21","2023-11-28",10704,11463
3804,"IMM0031","2023-11-24","2023-11-27",11463,12185
698,"IMM0031","2023-12-09","2023-12-17",12185,12621
629,"IMM0031","2024-01-17","2024-01-26",12621,13285
4070,"IMM0031","2024-02-17","2024-02-26",13285,13799
4024,"IMM0031","2024-03-03","2024-03-10",13799,14336
3588,"IMM0031","2024-03-09","2024-03-15",14336,14451
1784,"IMM0031","2024-03-18","2024-03-27",14451,14992
3807,"IMM0031","2024-03-27","2024-03-29",14992,15173
1746,"IMM0031","2024-03-29","2024-04-08",15173,15772
689,"IMM0031","2024-05-24","2024-06-02",15772,16409
1829,"IMM0031","2024-05-30","2024-06-09",16409,16926
1317,"IMM0031","2024-06-05","2024-06-06",16926,17260
4151,"IMM0031","2024-06-29","2024-07-07",17260,17540
319,"IMM0031","2024-07-01","2024-07-06",17540,17959
958,"IMM0031","2024-07-14","2024-07-24",17959,18267
2614,"IMM0031","2024-08-18","2024-08-24",18267,18830
3358,"IMM0031","2024-08-18","2024-08-27",18830,18966
3738,"IMM0031","2024-09-12","2024-09-16",18966,19303
930,"IMM0031","2024-11-20","2024-11-29",19303,19921
251,"IMM0031","2024-11-21","2024-11-29",19921,20563
3300,"IMM0031","2024-11-24","2024-11-29",20563,21358
329,"IMM0031","2024-11-29","2024-12-03",21358,22049
877,"IMM0031","2024-12-22","2024-12-28",22049,22595
612,"IMM0032","2023-01-09","2023-01-15",4513,4764
3758,"IMM0032","2023-02-01","2023-02-10",4764,5486
2287,"IMM0032","2023-02-03","2023-02-06",5486,5592
2838,"IMM0032","2023-02-25","2023-03-03",5592,6340
2853,"IMM0032","2023-03-25","2023-03-31",6340,6614
2619,"IMM0032","2023-04-19","2023-04-24",6614,6953
296,"IMM0032","2023-05-24","2023-06-01",6953,7531
3385,"IMM0032","2023-05-24","2023-06-01",7531,8060
4124,"IMM0032","2023-07-07","2023-07-16",8060,8660
1350,"IMM0032","2023-07-15","2023-07-18",8660,8818
257,"IMM0032","2023-07-17","2023-07-18",8818,9334
1146,"IMM0032","2023-08-22","2023-08-23",9334,9667
178,"IMM0032","2023-08-30","2023-09-09",9667,10034
4051,"IMM0032","2023-09-02","2023-09-04",10034,10211
1424,"IMM0032","2023-09-15","2023-09-20",10211,10673
866,"IMM0032","2023-10-13","2023-10-21",10673,11098
4029,"IMM0032","2023-11-10","2023-11-19",11098,11857
128,"IMM0032","2023-11-18","2023-11-23",11857,12004
189,"IMM0032","2023-11-20","2023-11-25",12004,12619
3503,"IMM0032","2023-11-23","2023-11-30",12619,13164
671,"IMM0032","2023-11-30","2023-12-09",13164,13642
2107,"IMM0032","2023-12-06","2023-12-11",13642,13844
3551,"IMM0032","2024-01-06","2024-01-09",13844,14193
2463,"IMM0032","2024-02-05","2024-02-13",14193,14303
2120,"IMM0032","2024-02-25","2024-03-06",14303,14914
3395,"IMM0032","2024-03-06","2024-03-14",14914,15048
942,"IMM0032","2024-04-03","2024-04-04",15048,15218
4114,"IMM0032","2024-04-12","2024-04-20",15218,15745
113,"IMM0032","2024-04-24","2024-04-28",15745,16043
1287,"IMM0032","2024-06-06","2024-06-12",16043,16567
386,"IMM0032","2024-06-12","2024-06-17",16567,17292
2407,"IMM0032","2024-07-06","2024-07-10",17292,17371
3798,"IMM0032","2024-07-31","2024-08-04",17371,17558
2523,"IMM0032","2024-08-05","2024-08-12",17558,18283
3467,"IMM0032","2024-08-20","2024-08-29",18283,18912
3956,"IMM0032","2024-09-07","2024-09-12",18912,19577
491,"IMM0032","2024-09-26","2024-09-30",19577,20281
468,"IMM0032","2024-10-12","2024-10-17",20281,20564
4206,"IMM0032","2024-10-14","2024-10-16",20564,21089
3624,"IMM0032","2024-11-08","2024-11-18",21089,21748
4098,"IMM0032","2024-11-21","2024-12-01",21748,22385
2709,"IMM0033","2023-01-23","2023-01-27",4617,5056
